Chicken Tacos, dinner, chicken thighs; corn tortillas; avocado; cilantro; limes; red onion
Fish Tacos, dinner, white fish; corn tortillas; cabbage; cilantro; limes; avocado
Teriyaki Salmon, dinner, salmon fillets; broccoli; scallions; ginger
Carnitas Tacos, dinner, pork shoulder; corn tortillas; cilantro; limes; red onion; avocado
Cajun Shrimp and Rice, dinner, shrimp; andouille sausage; bell peppers; celery; scallions
Chicken Enchiladas, dinner, chicken thighs; flour tortillas; cheddar; onion; cilantro; sour cream
Steak and Potatoes, dinner, strip steak; baby potatoes; asparagus; rosemary
Lasagna, dinner, ground beef; ricotta; mozzarella; fresh basil
Baked Pasta/Ziti, dinner, ground beef; ricotta; mozzarella; fresh basil
Butter Chicken and Naan, dinner, chicken thighs; naan; cilantro; cream; ginger; onion
Sweet Potato Black Bean Salad, dinner, sweet potatoes; black beans; avocado; cilantro; limes; red onion
Gyros with Hummus, dinner, ground beef; pita; cucumber; tomatoes; red onion; greek yogurt
Miyeok/Seaweed Soup, dinner, stew beef; dried seaweed; scallions; garlic
Eundaegujorim Braised Black Cod, dinner, black cod; daikon; scallions; tofu; Korean radish
Rice Cake Dduk-guk Soup, dinner, stew beef; rice cakes; eggs; scallions
Korean Bulgogi Lettuce Wraps, dinner, beef sirloin; butter lettuce; scallions; pear; perilla leaves
Turkey Taco Bowl, dinner, ground turkey; black beans; avocado; cherry tomatoes; cilantro; limes
Gnocchi, dinner, fresh gnocchi; cherry tomatoes; fresh mozzarella; basil
Chili, dinner, ground beef; kidney beans; onion; bell peppers; jalapeño
Creamy Potato Leek Soup, dinner, leeks; potatoes; cream; chives
Stuffed Bell Peppers, dinner, ground beef; bell peppers; onion; cheddar; rice
BBQ Chicken + Mac and Cheese, dinner, chicken thighs; cheddar; elbow pasta; scallions
Lentil Daal with Rice, dinner, red lentils; onion; tomatoes; cilantro; ginger
Bibimbap with Bulgogi, dinner, beef sirloin; spinach; zucchini; carrots; bean sprouts; eggs
Thai Coconut Curry with Tofu, dinner, firm tofu; bell peppers; snap peas; basil; limes
Beef Broccoli Stir Fry, dinner, flank steak; broccoli; scallions; ginger
Spanish Rice and Beans, dinner, black beans; bell peppers; onion; cilantro; limes
Pesto Pasta with Chicken, dinner, chicken breast; fresh basil; pine nuts; parmesan; arugula
Sloppy Joes, dinner, ground beef; brioche buns; bell peppers; onion
Cheeseburgers, dinner, ground beef; brioche buns; lettuce; tomato; onion; cheddar
